State,Make/Model,Thefts
Kentucky,Honda Accord,108
Kentucky,Ford Explorer,99
Kentucky,Ford Taurus,94
Kentucky,Dodge Pickup (Full Size),93
Kentucky,Chevrolet Pickup (Small Size),79
Louisiana,Chevrolet Pickup (Full Size),671
Louisiana,Ford Pickup (Full Size),584
Louisiana,GMC Pickup (Full Size),253
Louisiana,Toyota Camry,224
Louisiana,Dodge Pickup (Full Size),222
Louisiana,Nissan Altima,215
Louisiana,Honda Accord,209
Louisiana,Chevrolet Impala,177
Louisiana,GMC Yukon,125
Louisiana,Chevrolet Tahoe,114
Maine,Chevrolet Pickup (Full Size),29
Maine,GMC Pickup (Full Size),26
Maine,Jeep Cherokee/Grand Cherokee,18
Maine,Ford Pickup (Full Size),15
Maine,Toyota Corolla,13
Maine,Toyota Camry,13
Maine,Honda Civic,11
Maine,Chevrolet Impala,8
Maine,Ford Focus,8
Maine,Chevrolet Cobalt,7
Maryland,Dodge Caravan,727
Maryland,Honda Accord,675
Maryland,Toyota Camry,347
Maryland,Honda Civic,313
Maryland,Ford Pickup (Full Size),287
Maryland,Nissan Altima,230
Maryland,Toyota Corolla,204
Maryland,Jeep Cherokee/Grand Cherokee,194
Maryland,Chevrolet Pickup (Full Size),192
Maryland,Hyundai Sonata,169
Massachusetts,Honda Civic,426
Massachusetts,Honda Accord,402
Massachusetts,Toyota Camry,260
Massachusetts,Toyota Corolla,203
Massachusetts,Dodge Caravan,188
Massachusetts,Ford Pickup (Full Size),178
Massachusetts,Nissan Altima,156
Massachusetts,Jeep Cherokee/Grand Cherokee,143
Massachusetts,Honda CR-V,107
Massachusetts,Chevrolet Pickup (Full Size),95
Michigan,Chevrolet Impala,733
Michigan,Chevrolet Pickup (Full Size),585
Michigan,Ford Pickup (Full Size),530
Michigan,Dodge Caravan,528
Michigan,Dodge Charger,477
Michigan,Chevrolet Trailblazer,462
Michigan,Chevrolet Malibu,451
Michigan,Pontiac Grand Prix,418
Michigan,Jeep Cherokee/Grand Cherokee,407
Michigan,Ford Fusion,355
Minnesota,Honda Civic,676
Minnesota,Honda Accord,524
Minnesota,Chevrolet Pickup (Full Size),329
Minnesota,Ford Pickup (Full Size),246
Minnesota,Toyota Camry,214
Minnesota,Honda CR-V,190
Minnesota,Chevrolet Impala,171
Minnesota,Dodge Caravan,143
Minnesota,Toyota Corolla,109
Minnesota,Acura Integra,95
Mississippi,Chevrolet Pickup (Full Size),286
Mississippi,Ford Pickup (Full Size),278
Mississippi,Nissan Altima,128
Mississippi,Chevrolet Impala,114
Mississippi,GMC Pickup (Full Size),103
Mississippi,Toyota Camry,94
Mississippi,Honda Accord,91
Mississippi,Dodge Pickup (Full Size),85
Mississippi,Chevrolet Malibu,73
Mississippi,Chevrolet Tahoe,68
Missouri,Ford Pickup (Full Size),880
Missouri,Chevrolet Pickup (Full Size),783
Missouri,Dodge Caravan,465
Missouri,Dodge Pickup (Full Size),410
Missouri,Chevrolet Impala,369
Missouri,Jeep Cherokee/Grand Cherokee,289
Missouri,Honda Accord,274
Missouri,Ford Taurus,250
Missouri,Chevrolet Malibu,243
Missouri,Toyota Camry,236
Montana,Chevrolet Pickup (Full Size),165
Montana,Ford Pickup (Full Size),145
Montana,Dodge Pickup (Full Size),78
Montana,GMC Pickup (Full Size),55
Montana,Honda Accord,52
Montana,Chevrolet Impala,31
Montana,Ford Explorer,27
Montana,Chevrolet Pickup (Small Size),24
Montana,Toyota Camry,23
Montana,Ford Pickup (Small Size),22
Nebraska,Chevrolet Pickup (Full Size),196
Nebraska,Ford Pickup (Full Size),168
Nebraska,Honda Civic,165
Nebraska,Honda Accord,157
Nebraska,Dodge Pickup (Full Size),102
Nebraska,Jeep Cherokee/Grand Cherokee,70
Nebraska,Chevrolet Impala,68
Nebraska,GMC Pickup (Full Size),61
Nebraska,Toyota Camry,49
Nebraska,Chevrolet Pickup (Small Size),43
Nevada,Honda Accord,1048
Nevada,Honda Civic,1011
Nevada,Chevrolet Pickup (Full Size),377
Nevada,Ford Pickup (Full Size),279
Nevada,Toyota Camry,254
Nevada,Nissan Maxima,208
Nevada,Nissan Altima,207
Nevada,Nissan Sentra,200
Nevada,Toyota Corolla,151
Nevada,Dodge Pickup (Full Size),148
New Hampshire,Honda Civic,34
New Hampshire,Honda Accord,20
New Hampshire,Chevrolet Pickup (Full Size),19
New Hampshire,Ford Pickup (Full Size),17
New Hampshire,Dodge Caravan,16
New Hampshire,Ford Focus,14
New Hampshire,Toyota Camry,13
New Hampshire,Jeep Cherokee/Grand Cherokee,11
New Hampshire,GMC Pickup (Full Size),9
New Hampshire,Toyota Corolla,9
New Jersey,Honda Accord,844
New Jersey,Honda Civic,753
New Jersey,Dodge Caravan,427
New Jersey,Nissan Sentra,340
New Jersey,Ford Pickup (Full Size),295
New Jersey,Nissan Altima,291
New Jersey,Jeep Cherokee/Grand Cherokee,286
New Jersey,Toyota Camry,232
New Jersey,Nissan Maxima,195
New Jersey,Ford Econoline E350,184
New Mexico,Honda Civic,572
New Mexico,Ford Pickup (Full Size),557
New Mexico,Honda Accord,545
New Mexico,Chevrolet Pickup (Full Size),483
