State,Make/Model,Model Year,Thefts
Indiana,Pontiac Grand Prix,2004,183
Indiana,Ford Taurus,2003,182
Iowa,Chevrolet Pickup (Full Size),2002,258
Iowa,Ford Pickup (Full Size),2001,198
Iowa,Chevrolet Impala,2005,101
Iowa,Dodge Pickup (Full Size),2004,93
Iowa,Ford Taurus,2003,77
Iowa,Jeep Cherokee/Grand Cherokee,2005,65
Iowa,GMC Pickup (Full Size),2007,60
Iowa,Toyota Camry,1997,59
Iowa,Dodge Caravan,2005,56
Iowa,Pontiac Grand Prix,1999,56
Kansas,Chevrolet Pickup (Full Size),1999,439
Kansas,Ford Pickup (Full Size),2003,415
Kansas,Honda Accord,1996,319
Kansas,Honda Civic,2000,220
Kansas,Dodge Pickup (Full Size),2001,160
Kansas,GMC Pickup (Full Size),1999,113
Kansas,Chevrolet Impala,2004,98
Kansas,Dodge Caravan,2002,89
Kansas,Jeep Cherokee/Grand Cherokee,2000,89
Kansas,Chevrolet Pickup (Small Size),1998,88
Kentucky,Chevrolet Pickup (Full Size),1998,250
Kentucky,Ford Pickup (Full Size),2001,241
Kentucky,Toyota Camry,1999,178
Kentucky,Chevrolet Impala,2005,118
Kentucky,Toyota Corolla,2014,110
Kentucky,Honda Accord,1997,108
Kentucky,Ford Explorer,2000,99
Kentucky,Ford Taurus,2002,94
Kentucky,Dodge Pickup (Full Size),2001,93
Kentucky,Chevrolet Pickup (Small Size),2000,79
Louisiana,Chevrolet Pickup (Full Size),2006,671
Louisiana,Ford Pickup (Full Size),2006,584
Louisiana,GMC Pickup (Full Size),2006,253
Louisiana,Toyota Camry,2007,224
Louisiana,Dodge Pickup (Full Size),2003,222
Louisiana,Nissan Altima,2014,215
Louisiana,Honda Accord,2008,209
Louisiana,Chevrolet Impala,2008,177
Louisiana,GMC Yukon,2003,125
Louisiana,Chevrolet Tahoe,2007,114
Maine,Chevrolet Pickup (Full Size),2001,29
Maine,GMC Pickup (Full Size),1993,26
Maine,Jeep Cherokee/Grand Cherokee,2004,18
Maine,Ford Pickup (Full Size),2004,15
Maine,Toyota Corolla,2009,13
Maine,Toyota Camry,1996,13
Maine,Honda Civic,2009,11
Maine,Chevrolet Impala,2000,8
Maine,Ford Focus,2001,8
Maine,Chevrolet Cobalt,2005,7
Maryland,Dodge Caravan,2003,727
Maryland,Honda Accord,2008,675
Maryland,Toyota Camry,2014,347
Maryland,Honda Civic,2012,313
Maryland,Ford Pickup (Full Size),2004,287
Maryland,Nissan Altima,2013,230
Maryland,Toyota Corolla,2014,204
Maryland,Jeep Cherokee/Grand Cherokee,2015,194
Maryland,Chevrolet Pickup (Full Size),1999,192
Maryland,Hyundai Sonata,2013,169
Massachusetts,Honda Civic,2000,426
Massachusetts,Honda Accord,1997,402
Massachusetts,Toyota Camry,2014,260
Massachusetts,Toyota Corolla,2010,203
Massachusetts,Dodge Caravan,2005,188
Massachusetts,Ford Pickup (Full Size),2004,178
Massachusetts,Nissan Altima,2005,156
Massachusetts,Jeep Cherokee/Grand Cherokee,1999,143
Massachusetts,Honda CR-V,1999,107
Massachusetts,Chevrolet Pickup (Full Size),2015,95
Michigan,Chevrolet Impala,2008,733
Michigan,Chevrolet Pickup (Full Size),1999,585
Michigan,Ford Pickup (Full Size),2006,530
Michigan,Dodge Caravan,2003,528
Michigan,Dodge Charger,2015,477
Michigan,Chevrolet Trailblazer,2007,462
Michigan,Chevrolet Malibu,2013,451
Michigan,Pontiac Grand Prix,2004,418
